condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,9.501000000000e-07,9.501000e-01,1.911943809699e-05,19.119438,10.211288,0.055022243,576.150180,2.076842e+05,207.684,30.880562
T=255K,9.601000000000e-07,9.601000e-01,1.922100049182e-05,19.221000,10.156239,0.055913330,575.608458,2.076842e+05,207.684,30.779000
T=255K,9.701000000000e-07,9.701000e-01,1.932202098922e-05,19.322021,10.102050,0.056809106,575.063887,2.076842e+05,207.684,30.677979
T=255K,9.801000000000e-07,9.801000e-01,1.942250796940e-05,19.422508,10.048698,0.057709543,574.516482,2.076842e+05,207.684,30.577492
T=255K,9.901000000000e-07,9.901000e-01,1.952246961527e-05,19.522470,9.996165,0.058614614,573.966259,2.076842e+05,207.684,30.477530
T=255K,1.000100000000e-06,1.000100e+00,1.962191391857e-05,19.621914,9.944430,0.059524294,573.413235,2.076842e+05,207.684,30.378086
T=255K,1.010100000000e-06,1.010100e+00,1.972084868585e-05,19.720849,9.893477,0.060438557,572.857425,2.076842e+05,207.684,30.279151
T=255K,1.020100000000e-06,1.020100e+00,1.981928154421e-05,19.819282,9.843286,0.061357378,572.298844,2.076842e+05,207.684,30.180718
T=255K,1.030100000000e-06,1.030100e+00,1.991721994679e-05,19.917220,9.793840,0.062280732,571.737506,2.076842e+05,207.684,30.082780
T=255K,1.040100000000e-06,1.040100e+00,2.001467117809e-05,20.014671,9.745123,0.063208596,571.173428,2.076842e+05,207.684,29.985329
T=255K,1.050100000000e-06,1.050100e+00,2.011164235910e-05,20.111642,9.697118,0.064140947,570.606621,2.076842e+05,207.684,29.888358
T=255K,1.060100000000e-06,1.060100e+00,2.020814045220e-05,20.208140,9.649809,0.065077761,570.037101,2.076842e+05,207.684,29.791860
T=255K,1.070100000000e-06,1.070100e+00,2.030417226587e-05,20.304172,9.603181,0.066019015,569.464882,2.076842e+05,207.684,29.695828
T=255K,1.080100000000e-06,1.080100e+00,2.039974445934e-05,20.399744,9.557219,0.066964689,568.889976,2.076842e+05,207.684,29.600256
T=255K,1.090100000000e-06,1.090100e+00,2.049486354690e-05,20.494864,9.511909,0.067914760,568.312397,2.076842e+05,207.684,29.505136
T=255K,1.100100000000e-06,1.100100e+00,2.058953590219e-05,20.589536,9.467236,0.068869207,567.732157,2.076842e+05,207.684,29.410464
T=255K,1.110100000000e-06,1.110100e+00,2.068376776230e-05,20.683768,9.423186,0.069828009,567.149270,2.076842e+05,207.684,29.316232
T=255K,1.120100000000e-06,1.120100e+00,2.077756523165e-05,20.777565,9.379747,0.070791146,566.563747,2.076842e+05,207.684,29.222435
T=255K,1.130100000000e-06,1.130100e+00,2.087093428587e-05,20.870934,9.336905,0.071758599,565.975601,2.076842e+05,207.684,29.129066
T=255K,1.140100000000e-06,1.140100e+00,2.096388077542e-05,20.963881,9.294649,0.072730347,565.384844,2.076842e+05,207.684,29.036119
T=255K,1.150100000000e-06,1.150100e+00,2.105641042912e-05,21.056410,9.252965,0.073706371,564.791487,2.076842e+05,207.684,28.943590
T=255K,1.160100000000e-06,1.160100e+00,2.114852885762e-05,21.148529,9.211843,0.074686653,564.195541,2.076842e+05,207.684,28.851471
T=255K,1.170100000000e-06,1.170100e+00,2.124024155664e-05,21.240242,9.171270,0.075671174,563.597019,2.076842e+05,207.684,28.759758
T=255K,1.180100000000e-06,1.180100e+00,2.133155391017e-05,21.331554,9.131235,0.076659916,562.995930,2.076842e+05,207.684,28.668446
T=255K,1.190100000000e-06,1.190100e+00,2.142247119358e-05,21.422471,9.091728,0.077652862,562.392286,2.076842e+05,207.684,28.577529
T=255K,1.200100000000e-06,1.200100e+00,2.151299857654e-05,21.512999,9.052738,0.078649993,561.786097,2.076842e+05,207.684,28.487001
T=255K,1.210100000000e-06,1.210100e+00,2.160314112591e-05,21.603141,9.014255,0.079651293,561.177374,2.076842e+05,207.684,28.396859
T=255K,1.220100000000e-06,1.220100e+00,2.169290380854e-05,21.692904,8.976268,0.080656746,560.566127,2.076842e+05,207.684,28.307096
T=255K,1.230100000000e-06,1.230100e+00,2.178229149388e-05,21.782291,8.938769,0.081666334,559.952365,2.076842e+05,207.684,28.217709
T=255K,1.240100000000e-06,1.240100e+00,2.187130895666e-05,21.871309,8.901746,0.082680041,559.336099,2.076842e+05,207.684,28.128691
T=255K,1.250100000000e-06,1.250100e+00,2.195996087934e-05,21.959961,8.865192,0.083697852,558.717339,2.076842e+05,207.684,28.040039
T=255K,1.260100000000e-06,1.260100e+00,2.204825185452e-05,22.048252,8.829098,0.084719752,558.096093,2.076842e+05,207.684,27.951748
T=255K,1.270100000000e-06,1.270100e+00,2.213618638735e-05,22.136186,8.793453,0.085745724,557.472371,2.076842e+05,207.684,27.863814
T=255K,1.280100000000e-06,1.280100e+00,2.222376889773e-05,22.223769,8.758251,0.086775754,556.846182,2.076842e+05,207.684,27.776231
T=255K,1.290100000000e-06,1.290100e+00,2.231100372256e-05,22.311004,8.723482,0.087809827,556.217535,2.076842e+05,207.684,27.688996
T=255K,1.300100000000e-06,1.300100e+00,2.239789511781e-05,22.397895,8.689140,0.088847930,555.586438,2.076842e+05,207.684,27.602105
T=255K,1.310100000000e-06,1.310100e+00,2.248444726064e-05,22.484447,8.655214,0.089890047,554.952901,2.076842e+05,207.684,27.515553
T=255K,1.320100000000e-06,1.320100e+00,2.257066425133e-05,22.570664,8.621699,0.090936165,554.316932,2.076842e+05,207.684,27.429336
T=255K,1.330100000000e-06,1.330100e+00,2.265655011527e-05,22.656550,8.588586,0.091986270,553.678539,2.076842e+05,207.684,27.343450
T=255K,1.340100000000e-06,1.340100e+00,2.274210880478e-05,22.742109,8.555869,0.093040349,553.037730,2.076842e+05,207.684,27.257891
T=255K,1.350100000000e-06,1.350100e+00,2.282734420096e-05,22.827344,8.523540,0.094098389,552.394513,2.076842e+05,207.684,27.172656
T=255K,1.360100000000e-06,1.360100e+00,2.291226011542e-05,22.912260,8.491591,0.095160376,551.748896,2.076842e+05,207.684,27.087740
T=255K,1.370100000000e-06,1.370100e+00,2.299686029197e-05,22.996860,8.460018,0.096226298,551.100887,2.076842e+05,207.684,27.003140
T=255K,1.380100000000e-06,1.380100e+00,2.308114840833e-05,23.081148,8.428812,0.097296144,550.450493,2.076842e+05,207.684,26.918852
T=255K,1.390100000000e-06,1.390100e+00,2.316512807766e-05,23.165128,8.397967,0.098369899,549.797722,2.076842e+05,207.684,26.834872
T=255K,1.400100000000e-06,1.400100e+00,2.324880285015e-05,23.248803,8.367477,0.099447554,549.142580,2.076842e+05,207.684,26.751197
T=255K,1.410100000000e-06,1.410100e+00,2.333217621451e-05,23.332176,8.337336,0.100529095,548.485076,2.076842e+05,207.684,26.667824
T=255K,1.420100000000e-06,1.420100e+00,2.341525159946e-05,23.415252,8.307538,0.101614511,547.825216,2.076842e+05,207.684,26.584748
T=255K,1.430100000000e-06,1.430100e+00,2.349803237510e-05,23.498032,8.278078,0.102703791,547.163007,2.076842e+05,207.684,26.501968
