1259 1259 2514
436 -0.000163216 0.000120712 -0.000146255
437 -0.000138885 0.000144913 -0.000140747
438 -0.000110649 0.000163719 -0.000135666
439 -7.97958e-05 0.000176537 -0.000131126
440 -4.76685e-05 0.00018309 -0.000127258
441 0 8.64944e-05 -0.000112999
442 -1.56097e-05 0.000183449 -0.000124138
443 1.5152e-05 0.000177963 -0.000121857
444 -0.000181267 9.13925e-05 -0.000146255
445 5.87387e-05 -7.27463e-05 -0.000120003
446 0.000104828 -0.000129829 -0.000120003
447 7.01904e-05 -6.17752e-05 -0.000120003
448 -0.000161377 0.000119354 -0.000140747
449 -0.000136726 0.000142662 -0.000135666
450 0.000125259 -0.000110245 -0.000120003
451 -0.000108482 0.000160507 -0.000131126
452 -7.79266e-05 0.000172401 -0.000127258
453 7.96204e-05 -4.90265e-05 -0.000120003
454 -4.63943e-05 0.000178169 -0.000124138
455 -1.51443e-05 0.000177963 -0.000121857
456 0.00014209 -8.74939e-05 -0.000120003
457 -0.000195435 5.98526e-05 -0.000152054
458 -0.000202736 2.59628e-05 -0.000152054
459 8.67615e-05 -3.48663e-05 -0.000120003
460 -0.000194107 5.94406e-05 -0.000146255
461 -0.00017923 9.03625e-05 -0.000140747
462 0.000154831 -6.22177e-05 -0.000120003
463 -0.000158875 0.0001175 -0.000135666
464 -0.000134048 0.000139862 -0.000131126
465 9.14001e-05 -1.96991e-05 -0.000120003
466 -0.000105942 0.000156754 -0.000127258
467 -7.58362e-05 0.00016777 -0.000124138
468 0.000163124 -3.51562e-05 -0.000120003
469 -4.50058e-05 0.000172844 -0.000121857
470 -0.000201355 2.57797e-05 -0.000146255
471 9.34143e-05 -3.96729e-06 -0.000120003
472 -0.000191925 5.87769e-05 -0.000140747
473 -0.000176445 8.89587e-05 -0.000135666
474 0.000166718 -7.08771e-06 -0.000120003
475 -0.000155762 0.000115196 -0.000131126
476 -0.000130913 0.000136589 -0.000127258
477 9.27429e-05 1.18713e-05 -0.000120003
478 -0.000103096 0.000152542 -0.000124138
479 -7.35626e-05 0.00016275 -0.000121857
480 0.000165512 2.11945e-05 -0.000120003
481 -0.00020282 -8.62122e-06 -0.000146255
482 -0.000199097 2.54898e-05 -0.000140747
483 8.8356e-05 2.70538e-05 -0.000119911
484 -0.000188942 5.78613e-05 -0.000135666
485 -0.000172989 8.72192e-05 -0.000131126
486 0.000159554 4.88586e-05 -0.000120003
487 -0.000152115 0.000112503 -0.000127258
488 -0.000127396 0.000132919 -0.000124138
489 8.34885e-05 4.20914e-05 -0.000120003
490 -0.000100014 0.000147972 -0.000121857
491 -0.000199806 -4.30679e-05 -0.000152054
492 0.000149002 7.5119e-05 -0.000120003
493 -0.000189651 -7.621e-05 -0.000152054
494 -0.000198448 -4.27704e-05 -0.000146255
495 7.4295e-05 5.49469e-05 -0.000119911
496 -0.000200539 -8.52203e-06 -0.000140747
497 -0.000196007 2.51007e-05 -0.000135666
498 0.000134163 9.92203e-05 -0.000120003
499 -0.000185242 5.67245e-05 -0.000131126
500 -0.000168938 8.51746e-05 -0.000127258
501 6.46973e-05 6.74973e-05 -0.000120003
502 -0.000148026 0.000109482 -0.000124138
503 -0.000123581 0.000128944 -0.000121857
504 0.000115463 0.000120468 -0.000120003
505 -0.000188362 -7.56912e-05 -0.000146255
506 -0.000196213 -4.22897e-05 -0.000140747
507 5.17502e-05 7.65533e-05 -0.000119911
508 -0.000197426 -8.39233e-06 -0.000135666
509 -0.000192162 2.46048e-05 -0.000131126
510 9.34448e-05 0.000138245 -0.000120003
511 -0.000180901 5.5397e-05 -0.000127258
512 -0.000164398 8.28857e-05 -0.000124138
513 3.85132e-05 8.51974e-05 -0.000120003
514 -0.0001436 0.000106201 -0.000121857
515 -0.000174049 -0.00010717 -0.000152054
516 6.87332e-05 0.000152046 -0.000120003
517 -0.000172859 -0.000106438 -0.000146255
518 -0.000186249 -7.48444e-05 -0.000140747
519 2.35596e-05 9.0477e-05 -0.000120003
520 -0.000193169 -4.16336e-05 -0.000135666
521 -0.000193558 -8.22449e-06 -0.000131126
522 4.20456e-05 0.000161476 -0.000120003
523 -0.000187668 2.40326e-05 -0.000127258
524 -0.000176041 5.39093e-05 -0.000124138
525 7.93457e-06 9.31625e-05 -0.000120003
526 -0.000159477 8.04062e-05 -0.000121857
527 -0.000153435 -0.00013504 -0.000152054
528 1.41525e-05 0.00016626 -0.000120003
529 -0.00015239 -0.000134125 -0.000146255
530 -0.000170921 -0.00010524 -0.000140747
531 -7.92694e-06 9.31625e-05 -0.000120003
532 -0.000183357 -7.36847e-05 -0.000135666
533 -0.000189384 -4.08173e-05 -0.000131126
534 -1.41525e-05 0.00016626 -0.000120003
535 -0.000189026 -8.03375e-06 -0.000127258
536 -0.000182625 2.33841e-05 -0.000124138
537 -2.35596e-05 9.0477e-05 -0.000120003
538 -0.000170776 5.22995e-05 -0.000121857
539 -0.000128403 -0.000159027 -0.000152054
540 -4.20456e-05 0.000161476 -0.000120003
541 -9.9678e-05 -0.000178444 -0.000152054
542 -0.000127525 -0.000157944 -0.000146255
543 -3.85132e-05 8.51974e-05 -0.000120003
544 -0.000150673 -0.000132614 -0.000140747
545 -0.000168266 -0.000103607 -0.000135666
546 -6.87256e-05 0.000152046 -0.000120003
547 -0.000179764 -7.22351e-05 -0.000131126
548 -0.000184952 -3.98636e-05 -0.000127258
549 -5.23529e-05 7.74612e-05 -0.000120003
550 -0.000183945 -7.82013e-06 -0.000124138
551 -0.000177155 2.26822e-05 -0.000121857
552 -9.34372e-05 0.000138245 -0.000120003
553 -9.8999e-05 -0.000177231 -0.000146255
554 -0.000126099 -0.000156174 -0.000140747
555 -6.46973e-05 6.74973e-05 -0.000120003
556 -0.000148338 -0.000130554 -0.000135666
557 -0.00016497 -0.000101578 -0.000131126
558 -0.000115456 0.000120468 -0.000120003
559 -0.000175552 -7.0549e-05 -0.000127258
560 -0.000179977 -3.87878e-05 -0.000124138
561 -7.51724e-05 5.55954e-05 -0.000120003
562 -0.000178444 -7.58362e-06 -0.000121857
563 -0.000172653 -7.33948e-06 -0.000120468
564 -0.000134155 9.92203e-05 -0.000120003
565 -0.000174599 -3.76282e-05 -0.000121857
566 -0.000165726 -6.6597e-05 -0.000121857
567 -8.34885e-05 4.20914e-05 -0.000120003
568 -0.000170837 -6.86493e-05 -0.000124138
569 -0.000156776 -9.65347e-05 -0.000124138
570 -0.000148994 7.5119e-05 -0.000120003
571 -0.00016111 -9.91974e-05 -0.000127258
572 -0.000142021 -0.000125 -0.000127258
